run_accession	sample_alias
ERR6293704	KP_NORM_BLD_117537
ERR6293705	KP_NORM_BLD_117546
ERR6293706	KP_NORM_BLD_117562
ERR6293707	KP_NORM_BLD_117566
ERR6293708	KP_NORM_BLD_117571
ERR6293709	KP_NORM_BLD_117577
ERR6293710	KP_NORM_BLD_117583
ERR6293947	KP_NORM_BLD_2015_111587
ERR6293948	KP_NORM_BLD_2015_113765
ERR6293949	KP_NORM_BLD_2015_113891
ERR6293950	KP_NORM_BLD_2015_114050
ERR6293951	KP_NORM_BLD_2015_115372
ERR6293952	KP_NORM_BLD_2015_115990
ERR6293953	KP_NORM_BLD_2015_115991
ERR6293954	KP_NORM_BLD_2015_116357
ERR6293955	KP_NORM_BLD_2015_116374
ERR6293956	KP_NORM_BLD_2015_116588
ERR6293957	KP_NORM_BLD_2015_116590
ERR6847229	KP_NORM_BLD_2015_108843
ERR6847230	KP_NORM_BLD_2015_117492
ERR2631549	KP_NORM_URN_2012_81428
ERR2866475	KP_NORM_URN_2012_81473
ERR6294243	KP_NORM_URN_2012_80587
ERR6294244	KP_NORM_URN_2012_80681
ERR6294245	KP_NORM_URN_2012_81229
ERR6294246	KP_NORM_URN_2012_81416
ERR6294247	KP_NORM_URN_2012_81432
ERR6294248	KP_NORM_URN_2012_81479
ERR6294249	KP_NORM_URN_2012_81995
ERR6294250	KP_NORM_URN_2012_82063
ERR6294251	KP_NORM_URN_2012_82069
ERR6847231	KP_NORM_URN_2012_81114
ERR2653374	KP_NORM_URN_2013_96219
ERR2653375	KP_NORM_URN_2013_96200
ERR2866476	KP_NORM_URN_2013_95579
ERR6294252	KP_NORM_URN_2013_94592
ERR6294253	KP_NORM_URN_2013_95439
ERR6294254	KP_NORM_URN_2013_95505
ERR6294255	KP_NORM_URN_2013_95533
ERR6294256	KP_NORM_URN_2013_95566
ERR6294257	KP_NORM_URN_2013_95788
ERR6294258	KP_NORM_URN_2013_95819
ERR6294259	KP_NORM_URN_2013_95870
ERR6294260	KP_NORM_URN_2013_95951
ERR6294261	KP_NORM_URN_2013_95977
ERR6294262	KP_NORM_URN_2013_96191
ERR6847232	KP_NORM_URN_2013_96240
ERR6294263	KP_NORM_URN_2014_100307
ERR6294264	KP_NORM_URN_2014_100377
ERR6294265	KP_NORM_URN_2014_100386
ERR6294266	KP_NORM_URN_2014_100419
ERR6294267	KP_NORM_URN_2014_101205
ERR6294268	KP_NORM_URN_2014_103762
ERR6294269	KP_NORM_URN_2014_96612
ERR6294270	KP_NORM_URN_2014_96621
ERR6294271	KP_NORM_URN_2014_97392
ERR6294272	KP_NORM_URN_2014_97411
ERR6294273	KP_NORM_URN_2014_97671
ERR6294274	KP_NORM_URN_2014_97677
ERR6294275	KP_NORM_URN_2014_97959
ERR6294276	KP_NORM_URN_2014_98501
ERR6294277	KP_NORM_URN_2014_99206
ERR6847233	KP_NORM_URN_2014_97995
ERR2631552	KP_NORM_URN_2015_107539
ERR2631553	KP_NORM_URN_2015_107575
ERR2631554	KP_NORM_URN_2015_108575
ERR2631555	KP_NORM_URN_2015_109003
ERR2631556	KP_NORM_URN_2015_109059
ERR2631557	KP_NORM_URN_2015_109356
ERR2631558	KP_NORM_URN_2015_109604
ERR2631559	KP_NORM_URN_2015_109627
ERR2631560	KP_NORM_URN_2015_109629
ERR6294278	KP_NORM_URN_2015_106696
ERR6294279	KP_NORM_URN_2015_107836
ERR6294280	KP_NORM_URN_2015_107962
ERR6294281	KP_NORM_URN_2015_107993
ERR6294282	KP_NORM_URN_2015_108182
ERR6294283	KP_NORM_URN_2015_109056
ERR6294284	KP_NORM_URN_2015_109221
ERR6294285	KP_NORM_URN_2015_109238
ERR6294286	KP_NORM_URN_2015_109358
ERR6294287	KP_NORM_URN_2015_111149
ERR6294288	KP_NORM_URN_2015_111489
ERR6294289	KP_NORM_URN_2015_111534
ERR6294290	KP_NORM_URN_2015_111577
ERR6294291	KP_NORM_URN_2015_113007
ERR6294292	KP_NORM_URN_2015_113010
ERR6294293	KP_NORM_URN_2015_113374
ERR6294294	KP_NORM_URN_2015_114831
ERR2866477	KP_NORM_URN_2015_111209
ERR6847234	KP_NORM_URN_2015_108021
ERR5530500	2018-01-3929
ERR5530499	2018-01-1320
ERR5530498	2018-01-3926
ERR5530497	2018-01-874
ERR5530496	2018-01-4682
ERR5530495	2018-01-3334
ERR5530494	2018-01-2809
ERR5530493	2018-01-2782
ERR5530492	2018-01-2734
ERR5530491	2018-01-2280
ERR5530490	2018-01-1803
ERR5530489	2018-01-4196
ERR5530488	2018-01-1176
ERR5530487	2018-01-1446
ERR5530486	2018-01-4247
ERR5530485	2018-01-4248
ERR5530484	2018-01-2615
ERR5530483	2018-01-1007
ERR5530482	2018-01-4390
ERR5530481	2018-01-2151
ERR5530480	2018-01-709
ERR5530479	2018-01-706
ERR5530478	2018-01-2716
ERR5530477	2018-01-358
ERR5530476	2018-01-879
ERR5530475	2018-01-3095
ERR5530474	2018-01-4639
ERR5530473	2018-01-4306
ERR5530472	2018-01-3934
ERR5530471	2018-01-4735
ERR5530470	2018-01-2485
ERR5530469	2018-01-1221
ERR5530468	2018-01-2729
ERR5530467	2018-01-3777
ERR5530466	2018-01-3247
ERR5530465	2018-01-802
ERR5530464	2018-01-3295
ERR5530463	2018-01-1775
ERR5530462	2018-01-3464
ERR5530461	2018-01-4174
ERR5530460	2018-01-2860
ERR5530459	2018-01-1097
ERR5530458	2018-01-580
ERR5530457	2018-01-4203
ERR5530456	2018-01-2544
ERR5530455	2018-01-2730
ERR5530454	2018-01-4652
ERR5530453	2018-01-2242
ERR5530452	2018-01-1001
ERR5530451	2018-01-1649
ERR5530450	2018-01-3723
ERR5530449	2018-01-2125
ERR5530448	2018-01-710
ERR5530447	2018-01-1440
ERR5530446	2018-01-3863
ERR5530445	2018-01-1768
ERR5530444	2018-01-582
ERR5530443	2018-01-1095
ERR5530442	2018-01-810
ERR5530441	2018-01-1946
ERR5530440	2018-01-2643
ERR5530439	2018-01-3297
ERR5530501	2018-01-2279
ERR5530502	2018-01-4379
ERR5530503	2018-01-3893
ERR5530504	2018-01-1593
ERR5530505	2018-01-779
ERR5530506	2018-01-2839
ERR5530507	2018-01-3781
ERR5530508	2018-01-1116
ERR5530509	2018-01-714
ERR5530510	2018-01-3805
ERR5530511	2018-01-1439
ERR5530512	2018-01-2050
ERR5530513	2018-01-880
ERR5530514	2018-01-3218
ERR5530515	2018-01-4460
ERR5530516	2018-01-2084
ERR5530517	2018-01-2776
ERR5530518	2018-01-473
ERR5530519	2018-01-4847
ERR5530520	2018-01-3692
ERR5530344	2018-01-2248
ERR5530438	2018-01-4459
ERR5530437	2018-01-3773
ERR5530436	2018-01-3650
ERR5530435	2018-01-2353
ERR5530434	2018-01-3545
ERR5530433	2018-01-475
ERR5530432	2018-01-1319
ERR5530431	2018-01-1585
ERR5530430	2018-01-388
ERR5530429	2018-01-4514
ERR5530428	2018-01-1683
ERR5530427	2018-01-3688
ERR5530426	2018-01-507
ERR5530425	2018-01-1658
