run_accession	sample_alias
ERR3642368	NHP798
ERR3642376	NHP804
ERR3642382	NHP807
ERR3642386	NHP809
ERR3642390	NHP811
ERR3642213	NHP818
ERR3642217	NHP820
ERR3642225	NHP824
ERR3642235	NHP829
ERR3642245	NHP834
ERR3642251	NHP838
ERR3642265	NHP845
ERR3642273	NHP850
ERR3642279	NHP853
ERR3642283	NHP855
ERR3585204	BMP865
ERR3585206	BMP867
ERR3585210	BMP872
ERR3585212	BMP875
ERR3585213	BMP876
ERR3585217	BMP880
ERR3585220	BMP883
ERR4139478	BMP884
ERR4139481	BMP885
ERR3585224	BMP891
ERR3585225	BMP892
ERR3585226	BMP894
ERR3585227	BMP895
ERR3585228	BMP897
ERR3585229	BMP898
ERR3585230	BMP900
ERR3585231	BMP901
ERR3585235	BMP905
ERR3585237	BMP909
ERR3585239	BMP911
ERR3585240	BMP912
ERR3585244	BMP918
ERR3585246	BMP922
ERR4139217	BMP920
ERR4139221	BMP935
ERR3585259	BMP939
ERR3585262	BMP942
ERR3585264	BMP945
ERR4139223	BMP944
ERR3642301	NHP863
ERR3642318	NHP873
ERR3642324	NHP876
ERR3642338	NHP883
ERR3642344	NHP887
ERR3642359	NHP894
ERR4045561	NHP898
ERR4045569	NHP900
ERR4045573	NHP901
ERR3642365	NHP907
ERR3642369	NHP910
ERR3642373	NHP913
ERR3642375	NHP914
ERR3642385	NHP919
ERR3642389	NHP921
ERR3642391	NHP922
ERR3655855	NHP932
ERR3655851	NHP930
ERR3655863	NHP936
ERR4045585	NHP940
ERR3585269	BMP950
ERR3585274	BMP958
ERR3585279	BMP963
ERR3585282	BMP966
ERR4139231	BMP970
ERR4139235	BMP975
ERR3585288	BMP976
ERR3585289	BMP977
ERR3585293	BMP982
ERR3585295	BMP985
ERR3585296	BMP986
ERR3585299	BMP993
ERR3585300	BMP994
ERR3585305	BMP999
ERR3655888	NHP949
ERR3655906	NHP952
ERR3585327	BMP1029
ERR3585328	BMP1030
ERR3585310	BMP1006
ERR3585311	BMP1008
ERR3585314	BMP1013
ERR4189396	BMP1011
ERR3585315	BMP1015
ERR4139276	BMP1016
ERR3585318	BMP1019
ERR3585320	BMP1021
ERR3585323	BMP1025
ERR3585325	BMP1027
ERR3655912	NHP955
ERR3655916	NHP957
ERR3655898	NHP963
ERR4023890	NHP970
ERR4023902	NHP974
ERR4023915	NHP984
ERR4023930	NHP991
ERR4023942	NHP996
ERR4045597	NHP1003
ERR3655957	NHP1012
ERR3655959	NHP1013
ERR3585344	BMP1047
ERR3585345	BMP1048
ERR3585346	BMP1050
ERR3585347	BMP1051
ERR3595978	BMP1054
ERR3595980	BMP1058
ERR3585352	BMP1064
ERR3585353	BMP1065
ERR3585355	BMP1067
ERR3585357	BMP1069
ERR3585364	BMP1113
ERR3585365	BMP1114
ERR3585369	BMP1119
ERR3585370	BMP1120
ERR3655969	NHP1022
ERR4023972	NHP1028
ERR4023976	NHP1031
ERR4023754	NHP1036
ERR3655997	NHP1049
ERR4045613	NHP1052
ERR3656005	NHP1054
ERR3656007	NHP1056
ERR4045617	NHP1059
ERR4139419	NHP1060
ERR3585373	BMP1124
ERR4139285	BMP1125
ERR4139291	BMP1129
ERR3656016	NHP1072
ERR3656018	NHP1074
ERR4045625	NHP1083
ERR3585379	BMP1133
ERR3585381	BMP1135
ERR3585384	BMP1138
ERR3585387	BMP1141
ERR3585389	BMP1144
ERR3585390	BMP1145
ERR3585391	BMP1146
ERR3585392	BMP1147
ERR3585393	BMP1148
ERR3585395	BMP1150
ERR3585398	BMP1153
ERR3585400	BMP1155
ERR3585401	BMP1156
ERR3585403	BMP1159
ERR3585405	BMP1161
ERR3585413	BMP1169
ERR3585416	BMP1174
ERR3585419	BMP1177
ERR3655877	NHP1158
ERR3655879	NHP1159
ERR3585422	BMP1180
ERR3585424	BMP1182
ERR3655881	NHP1161
ERR3655883	NHP1162
ERR3655901	NHP1172
ERR4139428	NHP1176
ERR3655913	NHP1179
ERR3655918	NHP1181
ERR3655924	NHP1189
ERR4045633	NHP1193
ERR4023764	NHP1215
ERR4023774	NHP1220
ERR4023780	NHP1223
ERR3655946	NHP1205
ERR3655952	NHP1210
ERR4023793	NHP1230
ERR3567142	BMP1217
ERR3642107	BMP1219
ERR3585428	BMP1186
ERR3567124	BMP1193
ERR3567125	BMP1194
ERR3567127	BMP1197
ERR3567128	BMP1198
ERR3567136	BMP1208
ERR3567131	BMP1203
ERR3567139	BMP1213
ERR3642111	BMP1222
ERR3642120	BMP1233
ERR3567151	BMP1237
ERR3567152	BMP1238
ERR3567155	BMP1241
ERR4023803	NHP1235
ERR4023799	NHP1233
ERR4045641	NHP1240
ERR4023819	NHP1247
ERR4023821	NHP1248
ERR4023825	NHP1252
ERR4023833	NHP1257
ERR4046210	NHP1264
ERR4046218	NHP1267
ERR4046231	NHP1271
ERR4046271	NHP1280
ERR4045658	NHP1292
ERR4045662	NHP1293
ERR4045678	NHP1297
ERR4045686	NHP1299
ERR4045694	NHP1301
ERR4045714	NHP1307
ERR4045759	NHP1320
ERR4046563	NHP1329
ERR4046571	NHP1331
ERR3567160	BMP1246
ERR3567163	BMP1249
ERR4046607	NHP1341
ERR4046611	NHP1343
ERR4046619	NHP1346
ERR4023759	NHP1384
ERR4023843	NHP1379
ERR4024075	NHP1390
ERR4024091	NHP1393
ERR4046631	NHP1349
ERR4046652	NHP1355
ERR4046664	NHP1358
ERR4046668	NHP1360
ERR4046672	NHP1363
ERR4024100	NHP1399
ERR4046737	NHP1406
ERR4046745	NHP1409
ERR4023980	NHP1423
ERR4023978	NHP1420
ERR4023983	NHP1426
ERR4023984	NHP1428
ERR4046712	NHP1377
ERR4023775	NHP1386
ERR4023985	NHP1430
ERR4023986	NHP1433
ERR4023988	NHP1435
ERR4139345	NHP1440
ERR4023996	NHP1448
ERR4024006	NHP1469
ERR4023849	NHP1472
ERR4023857	NHP1477
ERR4023867	NHP1483
ERR4023871	NHP1486
ERR4023925	NHP1506
ERR4023934	NHP1509
ERR4023940	NHP1511
ERR4023949	NHP1514
ERR4023958	NHP1517
ERR4023967	NHP1521
ERR4023974	NHP1524
ERR4023755	NHP1527
