run_accession	sample_alias
ERR6293668	KP_NORM_BLD_116389
ERR6293669	KP_NORM_BLD_116392
ERR6293670	KP_NORM_BLD_116398
ERR6293671	KP_NORM_BLD_116404
ERR6293672	KP_NORM_BLD_116407
ERR6293673	KP_NORM_BLD_116410
ERR6293674	KP_NORM_BLD_116413
ERR6293675	KP_NORM_BLD_116436
ERR6293676	KP_NORM_BLD_116439
ERR6293677	KP_NORM_BLD_116441
ERR6293678	KP_NORM_BLD_116444
ERR6293679	KP_NORM_BLD_116446
ERR6293680	KP_NORM_BLD_116489
ERR6293682	KP_NORM_BLD_116554
ERR6293683	KP_NORM_BLD_116562
ERR6293684	KP_NORM_BLD_116566
ERR6293685	KP_NORM_BLD_116570
ERR6293686	KP_NORM_BLD_116574
ERR6293687	KP_NORM_BLD_116578
ERR6293688	KP_NORM_BLD_116585
ERR6293689	KP_NORM_BLD_116589
ERR6293690	KP_NORM_BLD_116592
ERR6293691	KP_NORM_BLD_116598
ERR6293693	KP_NORM_BLD_116604
ERR6293695	KP_NORM_BLD_117477
ERR6293696	KP_NORM_BLD_117483
ERR6293697	KP_NORM_BLD_117487
ERR6293698	KP_NORM_BLD_117493
ERR6293699	KP_NORM_BLD_117503
ERR6293700	KP_NORM_BLD_117512
ERR6293701	KP_NORM_BLD_117519
ERR6293702	KP_NORM_BLD_117525
ERR6293703	KP_NORM_BLD_117530
ERR6293704	KP_NORM_BLD_117537
ERR6293705	KP_NORM_BLD_117546
ERR6293706	KP_NORM_BLD_117562
ERR6293707	KP_NORM_BLD_117566
ERR6293708	KP_NORM_BLD_117571
ERR6293709	KP_NORM_BLD_117577
ERR6293710	KP_NORM_BLD_117583
ERR6293947	KP_NORM_BLD_2015_111587
ERR6293948	KP_NORM_BLD_2015_113765
ERR6293949	KP_NORM_BLD_2015_113891
ERR6293950	KP_NORM_BLD_2015_114050
ERR6293951	KP_NORM_BLD_2015_115372
ERR6293952	KP_NORM_BLD_2015_115990
ERR6293953	KP_NORM_BLD_2015_115991
ERR6293954	KP_NORM_BLD_2015_116357
ERR6293955	KP_NORM_BLD_2015_116374
ERR6293956	KP_NORM_BLD_2015_116588
ERR6293957	KP_NORM_BLD_2015_116590
ERR6847229	KP_NORM_BLD_2015_108843
ERR6847230	KP_NORM_BLD_2015_117492
ERR2631549	KP_NORM_URN_2012_81428
ERR2866475	KP_NORM_URN_2012_81473
ERR6294243	KP_NORM_URN_2012_80587
ERR6294244	KP_NORM_URN_2012_80681
ERR6294245	KP_NORM_URN_2012_81229
ERR6294246	KP_NORM_URN_2012_81416
ERR6294247	KP_NORM_URN_2012_81432
ERR6294248	KP_NORM_URN_2012_81479
ERR6294249	KP_NORM_URN_2012_81995
ERR6294250	KP_NORM_URN_2012_82063
ERR6294251	KP_NORM_URN_2012_82069
ERR6847231	KP_NORM_URN_2012_81114
ERR2653374	KP_NORM_URN_2013_96219
ERR2653375	KP_NORM_URN_2013_96200
ERR2866476	KP_NORM_URN_2013_95579
ERR6294252	KP_NORM_URN_2013_94592
ERR6294253	KP_NORM_URN_2013_95439
ERR6294254	KP_NORM_URN_2013_95505
ERR6294255	KP_NORM_URN_2013_95533
ERR6294256	KP_NORM_URN_2013_95566
ERR6294257	KP_NORM_URN_2013_95788
ERR6294258	KP_NORM_URN_2013_95819
ERR6294259	KP_NORM_URN_2013_95870
ERR6294260	KP_NORM_URN_2013_95951
ERR6294261	KP_NORM_URN_2013_95977
ERR6294262	KP_NORM_URN_2013_96191
ERR6847232	KP_NORM_URN_2013_96240
ERR6294263	KP_NORM_URN_2014_100307
ERR6294264	KP_NORM_URN_2014_100377
ERR6294265	KP_NORM_URN_2014_100386
ERR6294266	KP_NORM_URN_2014_100419
ERR6294267	KP_NORM_URN_2014_101205
ERR6294268	KP_NORM_URN_2014_103762
ERR6294269	KP_NORM_URN_2014_96612
ERR6294270	KP_NORM_URN_2014_96621
ERR6294271	KP_NORM_URN_2014_97392
ERR6294272	KP_NORM_URN_2014_97411
ERR6294273	KP_NORM_URN_2014_97671
ERR6294274	KP_NORM_URN_2014_97677
ERR6294275	KP_NORM_URN_2014_97959
ERR6294276	KP_NORM_URN_2014_98501
ERR6294277	KP_NORM_URN_2014_99206
ERR6847233	KP_NORM_URN_2014_97995
ERR2631552	KP_NORM_URN_2015_107539
ERR2631553	KP_NORM_URN_2015_107575
ERR2631554	KP_NORM_URN_2015_108575
ERR2631555	KP_NORM_URN_2015_109003
ERR2631556	KP_NORM_URN_2015_109059
ERR2631557	KP_NORM_URN_2015_109356
ERR2631558	KP_NORM_URN_2015_109604
ERR2631559	KP_NORM_URN_2015_109627
ERR2631560	KP_NORM_URN_2015_109629
ERR6294278	KP_NORM_URN_2015_106696
ERR6294279	KP_NORM_URN_2015_107836
ERR6294280	KP_NORM_URN_2015_107962
ERR6294281	KP_NORM_URN_2015_107993
ERR6294282	KP_NORM_URN_2015_108182
ERR6294283	KP_NORM_URN_2015_109056
ERR6294284	KP_NORM_URN_2015_109221
ERR6294285	KP_NORM_URN_2015_109238
ERR6294286	KP_NORM_URN_2015_109358
ERR6294287	KP_NORM_URN_2015_111149
ERR6294288	KP_NORM_URN_2015_111489
ERR6294289	KP_NORM_URN_2015_111534
ERR6294290	KP_NORM_URN_2015_111577
ERR6294291	KP_NORM_URN_2015_113007
ERR6294292	KP_NORM_URN_2015_113010
ERR6294293	KP_NORM_URN_2015_113374
ERR6294294	KP_NORM_URN_2015_114831
ERR2866477	KP_NORM_URN_2015_111209
ERR6847234	KP_NORM_URN_2015_108021
