run_accession	sample_alias
ERS5230566 	RK-BB615-I
ERS5230573 	RK-BB721b-I
ERS5230580 	RK-BB840-I
ERS5230582 	RK-BB866-I
ERS5230585 	RK-BB92-I
ERS5230590 	RU-BB124-I
ERS5230591 	RU-BB187-I
ERS5230592 	RU-BB193-I
ERS5230596 	RU-BB284-I
ERS5230602 	RU-BB487-I
ERS5230604 	RU-BB59-I
ERS5230606 	RU-BB83-I
ERS5230608 	ZAT-BB102-I1
ERS5230612 	ZAT-BB1197-I1
ERS5230613 	ZAT-BB1197-I2
ERS5230615 	ZAT-BB1262-I4
ERS5230617 	ZAT-BB14-I1
ERS5230621 	ZAT-BB175-I1
ERS5230622 	ZAT-BB175-I2
ERS5230624 	ZAT-BB1830-I1
ERS5230625 	ZAT-BB1851-I1
ERS5230628 	ZAT-BB237-I2
ERS5230629 	ZAT-BB245-I1
ERS5230633 	ZAT-BB2708-I1
ERS5230634 	ZAT-BB2711-I1
ERS5230639 	ZAT-BB330-I1
ERS5230641 	ZAT-BB514b-I1
ERS5230643 	ZAT-BB643-I3
